index,Apartment,Apartment URL,Sq Feet,Sq Feet Clean,Rent,Rent Simple,Bedrooms,Deposit,Available
2681,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,133 Sq Ft",1133,"$2,248 - 4,131",2248 ,"('2 ', ' bedroom')",$0,Available Now
2682,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,133 Sq Ft",1133,"$2,248 - 3,897",2248 ,"('2 ', ' bedroom')",$0,Available Now
2684,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,133 Sq Ft",1133,"$2,288 - 4,110",2288 ,"('2 ', ' bedroom')",$0,Available Now
2685,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"982 - 1,023 Sq Ft",9821023,"$1,546 - 2,599",1546 ,"('1 ', ' bedroom')",$0,Feb 11
2686,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,982 Sq Ft,982,"$1,576 - 2,245",1576 ,"('1 ', ' bedroom')",$0,Feb 11
2687,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,950 Sq Ft,950,"$1,656 - 2,374",1656 ,"('1 ', ' bedroom')",$0,Feb 19
2688,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,791 Sq Ft,791,"$1,640 - 2,488",1640 ,"('1 ', ' bedroom')",$0,Feb 23
2689,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,791 Sq Ft,791,"$1,725 - 2,488",1725 ,"('1 ', ' bedroom')",$0,Feb 23
2690,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,023 Sq Ft",1023,"$1,656 - 2,599",1656 ,"('1 ', ' bedroom')",$0,Mar 3
2691,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,000 Sq Ft",1000,"$1,616 - 2,545",1616 ,"('1 ', ' bedroom')",$0,Mar 6
2692,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,950 Sq Ft,950,"$1,641 - 2,580",1641 ,"('1 ', ' bedroom')",$0,Mar 10
2693,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,982 Sq Ft,982,"$1,616 - 2,545",1616 ,"('1 ', ' bedroom')",$0,Mar 13
2694,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,791 Sq Ft,791,"$1,680 - 2,450",1680 ,"('1 ', ' bedroom')",$0,Mar 13
2695,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,950 Sq Ft,950,"$1,581 - 2,497",1581 ,"('1 ', ' bedroom')",$0,Mar 21
2696,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,950 Sq Ft,950,"$1,656 - 2,599",1656 ,"('1 ', ' bedroom')",$0,Mar 21
2697,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,791 Sq Ft,791,"$1,660 - 2,429",1660 ,"('1 ', ' bedroom')",$0,Mar 25
2698,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,000 Sq Ft",1000,"$1,601 - 2,522",1601 ,"('1 ', ' bedroom')",$0,Apr 6
2699,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,933 Sq Ft,933,"$1,586 - 2,503",1586 ,"('1 ', ' bedroom')",$0,Apr 10
2700,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,791 Sq Ft,791,"$1,680 - 2,374",1680 ,"('1 ', ' bedroom')",$0,Apr 19
2701,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,791 Sq Ft,791,"$1,700 - 2,399",1700 ,"('1 ', ' bedroom')",$0,Apr 19
2702,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,791 Sq Ft,791,"$1,660 - 2,354",1660 ,"('1 ', ' bedroom')",$0,Apr 22
2703,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,923 Sq Ft,923,"$1,690",1690,"('1 ', ' bedroom')",$0,Apr 22
2704,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,923 Sq Ft,923,Call for Rent,all f,"('1 ', ' bedroom')",$0,Apr 22
2705,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,023 Sq Ft",1023,"$1,546 - 2,448",1546 ,"('1 ', ' bedroom')",$0,Apr 23
2706,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,023 Sq Ft",1023,"$1,621 - 2,551",1621 ,"('1 ', ' bedroom')",$0,Apr 23
2707,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,791 Sq Ft,791,"$1,640 - 2,329",1640 ,"('1 ', ' bedroom')",$0,Apr 23
2708,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,"1,357 Sq Ft",1357,"$2,248 - 3,163",2248 ,"('2 ', ' bedroom')",$0,Apr 23
2709,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,910 Sq Ft,910,"$1,611 - 2,539",1611 ,"('1 ', ' bedroom')",$0,Apr 30
2710,Highlands of Chevy Chase,https://www.apartments.com/highlands-of-chevy-chase-chevy-chase-md/h1xzg03,893 Sq Ft,893,"$1,870 - 2,601",1870 ,"('1 ', ' bedroom')",$0,May 1
3071,The Belgard,https://www.apartments.com/the-belgard-washington-dc/n17wlyp,795 Sq Ft,795,"$2,197 - 2,781",2197 ,"('1 ', ' bedroom')",$0,Available Now
3072,The Belgard,https://www.apartments.com/the-belgard-washington-dc/n17wlyp,795 Sq Ft,795,"$2,197 - 2,752",2197 ,"('1 ', ' bedroom')",$0,Available Now
3073,The Belgard,https://www.apartments.com/the-belgard-washington-dc/n17wlyp,795 Sq Ft,795,"$2,207 - 2,763",2207 ,"('1 ', ' bedroom')",$0,Feb 7
3074,The Belgard,https://www.apartments.com/the-belgard-washington-dc/n17wlyp,888 Sq Ft,888,Call for Rent,all f,"('2 ', ' bedroom')",$0,Feb 7
3075,The Belgard,https://www.apartments.com/the-belgard-washington-dc/n17wlyp,713 Sq Ft,713,"$1,992 - 2,499",1992 ,"('1 ', ' bedroom')",$0,Feb 11
3077,The Belgard,https://www.apartments.com/the-belgard-washington-dc/n17wlyp,795 Sq Ft,795,Call for Rent,all f,"('1 ', ' bedroom')",$0,Feb 19
3078,The Belgard,https://www.apartments.com/the-belgard-washington-dc/n17wlyp,795 Sq Ft,795,"$2,227 - 2,781",2227 ,"('1 ', ' bedroom')",$0,Mar 17
3241,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,851 Sq Ft,851,"$2,040 - 4,375",2040 ,"('1 ', ' bedroom')",$0,Available Now
3243,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,797 Sq Ft,797,"$2,075 - 4,572",2075 ,"('1 ', ' bedroom')",$0,Available Now
3244,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,797 Sq Ft,797,"$2,075 - 4,437",2075 ,"('1 ', ' bedroom')",$0,Available Now
3245,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,797 Sq Ft,797,"$2,105 - 4,494",2105 ,"('1 ', ' bedroom')",$0,Available Now
3246,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,797 Sq Ft,797,"$2,111 - 4,494",2111 ,"('1 ', ' bedroom')",$0,Available Now
3247,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,894 Sq Ft,894,"$2,135 - 5,562",2135 ,"('1 ', ' bedroom')",$0,Available Now
3248,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,894 Sq Ft,894,"$2,146 - 4,557",2146 ,"('1 ', ' bedroom')",$0,Available Now
3249,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,936 Sq Ft,936,"$2,281 - 4,801",2281 ,"('1 ', ' bedroom')",$0,Available Now
3251,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,851 Sq Ft,851,"$2,088 - 5,282",2088 ,"('1 ', ' bedroom')",$0,Mar 1
3253,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,936 Sq Ft,936,"$2,118 - 5,441",2118 ,"('1 ', ' bedroom')",$0,Mar 7
3254,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,936 Sq Ft,936,"$2,118 - 5,352",2118 ,"('1 ', ' bedroom')",$0,Mar 7
3255,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,936 Sq Ft,936,"$2,163 - 5,441",2163 ,"('1 ', ' bedroom')",$0,Mar 11
3256,The Loree Grand at Union Place,https://www.apartments.com/the-loree-grand-at-union-place-washington-dc/jkd2t36,894 Sq Ft,894,"$2,135 - 5,562",2135 ,"('1 ', ' bedroom')",$0,Apr 14
3273,Washington Apartments,https://www.apartments.com/washington-apartments-washington-dc/8vh3132,760 - 800 Sq Ft,760800,"$2,100 - 2,300",2100 ,"('2 ', ' bedroom')",$300,Available Now
3321,The Edison at Union Market,https://www.apartments.com/the-edison-at-union-market-washington-dc/5lj6xpq,982 Sq Ft,982,"$2,100",2100,"('2 ', ' bedroom')",$0,Mar 7
